,DateTime,Open,High,Low,Close
0,2025-07-09 06:20:00+00:00,108788.00000000,108788.01000000,108768.82000000,108788.00000000
1,2025-07-09 06:21:00+00:00,108788.00000000,108788.00000000,108782.00000000,108782.01000000
2,2025-07-09 06:22:00+00:00,108782.00000000,108782.01000000,108742.99000000,108747.38000000
3,2025-07-09 06:23:00+00:00,108747.38000000,108747.39000000,108747.38000000,108747.39000000
4,2025-07-09 06:24:00+00:00,108747.39000000,108747.39000000,108732.03000000,108732.03000000
5,2025-07-09 06:25:00+00:00,108732.03000000,108732.04000000,108720.00000000,108720.00000000
6,2025-07-09 06:26:00+00:00,108720.00000000,108720.01000000,108720.00000000,108720.00000000
7,2025-07-09 06:27:00+00:00,108720.01000000,108720.01000000,108720.00000000,108720.01000000
8,2025-07-09 06:28:00+00:00,108720.01000000,108720.01000000,108720.00000000,108720.01000000
9,2025-07-09 06:29:00+00:00,108720.01000000,108720.01000000,108720.00000000,108720.01000000
10,2025-07-09 06:30:00+00:00,108720.01000000,108720.01000000,108720.00000000,108720.01000000
11,2025-07-09 06:31:00+00:00,108720.00000000,108745.39000000,108720.00000000,108745.26000000
12,2025-07-09 06:32:00+00:00,108745.26000000,108745.26000000,108745.25000000,108745.25000000
13,2025-07-09 06:33:00+00:00,108745.25000000,108745.26000000,108745.25000000,108745.25000000
14,2025-07-09 06:34:00+00:00,108745.25000000,108745.26000000,108745.25000000,108745.26000000
15,2025-07-09 06:35:00+00:00,108745.26000000,108745.26000000,108745.25000000,108745.25000000
16,2025-07-09 06:36:00+00:00,108745.26000000,108745.26000000,108732.00000000,108732.01000000
17,2025-07-09 06:37:00+00:00,108732.00000000,108732.01000000,108732.00000000,108732.00000000
18,2025-07-09 06:38:00+00:00,108732.00000000,108732.01000000,108730.00000000,108730.00000000
19,2025-07-09 06:39:00+00:00,108730.01000000,108730.01000000,108730.00000000,108730.01000000
20,2025-07-09 06:40:00+00:00,108730.01000000,108730.01000000,108678.39000000,108678.40000000
21,2025-07-09 06:41:00+00:00,108678.39000000,108678.40000000,108678.39000000,108678.39000000
22,2025-07-09 06:42:00+00:00,108678.39000000,108678.40000000,108678.39000000,108678.39000000
23,2025-07-09 06:43:00+00:00,108678.39000000,108707.53000000,108678.39000000,108707.53000000
24,2025-07-09 06:44:00+00:00,108707.53000000,108707.53000000,108707.52000000,108707.52000000
25,2025-07-09 06:45:00+00:00,108707.52000000,108738.24000000,108707.52000000,108738.23000000
26,2025-07-09 06:46:00+00:00,108738.23000000,108738.24000000,108738.23000000,108738.23000000
27,2025-07-09 06:47:00+00:00,108738.23000000,108740.00000000,108738.23000000,108740.00000000
28,2025-07-09 06:48:00+00:00,108740.00000000,108763.43000000,108739.99000000,108763.42000000
29,2025-07-09 06:49:00+00:00,108763.42000000,108775.12000000,108763.42000000,108775.11000000
30,2025-07-09 06:50:00+00:00,108775.12000000,108793.48000000,108775.11000000,108793.48000000
31,2025-07-09 06:51:00+00:00,108793.48000000,108836.38000000,108793.47000000,108836.37000000
32,2025-07-09 06:52:00+00:00,108836.37000000,108836.38000000,108836.37000000,108836.38000000
33,2025-07-09 06:53:00+00:00,108836.37000000,108836.39000000,108836.37000000,108836.39000000
34,2025-07-09 06:54:00+00:00,108836.39000000,108853.74000000,108836.38000000,108853.73000000
35,2025-07-09 06:55:00+00:00,108853.73000000,108853.74000000,108853.73000000,108853.73000000
36,2025-07-09 06:56:00+00:00,108853.73000000,108860.00000000,108848.65000000,108848.66000000
37,2025-07-09 06:57:00+00:00,108848.66000000,108848.66000000,108840.00000000,108840.01000000
38,2025-07-09 06:58:00+00:00,108840.00000000,108840.01000000,108840.00000000,108840.01000000
39,2025-07-09 06:59:00+00:00,108840.00000000,108840.01000000,108840.00000000,108840.01000000
40,2025-07-09 07:00:00+00:00,108840.01000000,108868.22000000,108840.00000000,108868.21000000
41,2025-07-09 07:01:00+00:00,108868.21000000,108876.30000000,108868.21000000,108876.30000000
42,2025-07-09 07:02:00+00:00,108876.29000000,108876.30000000,108811.35000000,108812.19000000
43,2025-07-09 07:03:00+00:00,108812.19000000,108844.86000000,108812.18000000,108844.86000000
44,2025-07-09 07:04:00+00:00,108844.86000000,108844.86000000,108844.85000000,108844.86000000
45,2025-07-09 07:05:00+00:00,108844.85000000,108844.87000000,108844.85000000,108844.87000000
46,2025-07-09 07:06:00+00:00,108844.87000000,108855.99000000,108844.86000000,108855.98000000
47,2025-07-09 07:07:00+00:00,108855.99000000,108855.99000000,108855.98000000,108855.98000000
48,2025-07-09 07:08:00+00:00,108855.99000000,108855.99000000,108855.98000000,108855.98000000
49,2025-07-09 07:09:00+00:00,108855.99000000,108861.18000000,108855.98000000,108861.17000000
50,2025-07-09 07:10:00+00:00,108861.18000000,108861.18000000,108809.08000000,108809.08000000
51,2025-07-09 07:11:00+00:00,108809.09000000,108821.76000000,108809.08000000,108821.75000000
52,2025-07-09 07:12:00+00:00,108821.76000000,108821.76000000,108821.75000000,108821.75000000
53,2025-07-09 07:13:00+00:00,108821.76000000,108821.76000000,108821.75000000,108821.75000000
54,2025-07-09 07:14:00+00:00,108821.76000000,108821.76000000,108767.00000000,108767.01000000
55,2025-07-09 07:15:00+00:00,108767.00000000,108775.46000000,108767.00000000,108775.45000000
56,2025-07-09 07:16:00+00:00,108775.46000000,108785.77000000,108775.45000000,108777.80000000
57,2025-07-09 07:17:00+00:00,108777.80000000,108820.00000000,108777.80000000,108807.01000000
58,2025-07-09 07:18:00+00:00,108807.01000000,108807.02000000,108807.01000000,108807.01000000
59,2025-07-09 07:19:00+00:00,108807.02000000,108817.91000000,108807.01000000,108817.91000000
60,2025-07-09 07:20:00+00:00,108817.90000000,108817.91000000,108817.90000000,108817.91000000
